source language,target language,engine name
ar,ko,Google
ar,ku,Google
ar,ky,Google
ar,la,Google
ar,lb,Google
ar,lg,Google
ar,ln,Google
ar,lo,Google
ar,lt,Google
ar,lv,Google
ar,mai,Google
ar,mg,Google
ar,mi,Google
ar,mk,Google
ar,ml,Google
ar,mn,Google
ar,mni,Google
ar,mr,Google
ar,ms,Google
ar,mt,Google
ar,my,Google
ar,ne,Google
ar,nl,Google
ar,no,Google
ar,nso,Google
ar,ny,Google
ar,om,Google
ar,or,Google
ar,pa,Google
ar,pl,Google
ar,ps,Google
ar,pt,Google
ar,qu,Google
ar,ro,Google
ar,ru,Google
ar,rw,Google
ar,sa,Google
ar,sd,Google
ar,sh,Google
ar,si,Google
ar,simple,Google
ar,sk,Google
ar,sl,Google
ar,sm,Google
ar,sn,Google
ar,so,Google
ar,sq,Google
ar,sr,Google
ar,st,Google
ar,su,Google
ar,sv,Google
ar,sw,Google
ar,ta,Google
ar,te,Google
ar,tg,Google
ar,th,Google
ar,ti,Google
ar,tk,Google
ar,tl,Google
ar,tr,Google
ar,ts,Google
ar,tt,Google
ar,tw,Google
ar,ug,Google
ar,uk,Google
ar,ur,Google
ar,uz,Google
ar,vi,Google
ar,wuu,Google
ar,xh,Google
ar,yi,Google
ar,yo,Google
ar,yue,Google
ar,zh,Google
ar,zu,Google
arz,af,Google
arz,am,Google
arz,ar,Google
arz,as,Google
arz,ay,Google
arz,az,Google
arz,be,Google
arz,be-tarask,Google
arz,bg,Google
arz,bho,Google
arz,bm,Google
arz,bn,Google
arz,bs,Google
arz,ca,Google
arz,ceb,Google
arz,ckb,Google
arz,co,Google
arz,cs,Google
arz,cy,Google
arz,da,Google
arz,de,Google
arz,dv,Google
arz,ee,Google
arz,el,Google
arz,en,Google
arz,eo,Google
arz,es,Google
arz,et,Google
arz,eu,Google
arz,fa,Google
arz,fi,Google
arz,fr,Google
arz,fy,Google
arz,ga,Google
arz,gan,Google
arz,gd,Google
arz,gl,Google
arz,gn,Google
arz,gom,Google
arz,gu,Google
arz,ha,Google
arz,haw,Google
arz,he,Google
arz,hi,Google
arz,hr,Google
arz,ht,Google
arz,hu,Google
arz,hy,Google
arz,id,Google
arz,ig,Google
arz,ilo,Google
arz,is,Google
arz,it,Google
arz,ja,Google
arz,jv,Google
arz,ka,Google
arz,kk,Google
arz,km,Google
arz,kn,Google
arz,ko,Google
arz,ku,Google
arz,ky,Google
arz,la,Google
arz,lb,Google
arz,lg,Google
arz,ln,Google
arz,lo,Google
arz,lt,Google
arz,lv,Google
arz,mai,Google
arz,mg,Google
arz,mi,Google
arz,mk,Google
arz,ml,Google
arz,mn,Google
arz,mni,Google
arz,mr,Google
arz,ms,Google
arz,mt,Google
arz,my,Google
arz,ne,Google
arz,nl,Google
arz,no,Google
arz,nso,Google
arz,ny,Google
arz,om,Google
arz,or,Google
arz,pa,Google
arz,pl,Google
arz,ps,Google
arz,pt,Google
arz,qu,Google
arz,ro,Google
arz,ru,Google
arz,rw,Google
arz,sa,Google
arz,sd,Google
arz,sh,Google
arz,si,Google
arz,simple,Google
arz,sk,Google
arz,sl,Google
arz,sm,Google
arz,sn,Google
arz,so,Google
arz,sq,Google
arz,sr,Google
arz,st,Google
arz,su,Google
arz,sv,Google
arz,sw,Google
arz,ta,Google
arz,te,Google
arz,tg,Google
arz,th,Google
arz,ti,Google
arz,tk,Google
arz,tl,Google
arz,tr,Google
arz,ts,Google
arz,tt,Google
arz,tw,Google
arz,ug,Google
arz,uk,Google
arz,ur,Google
arz,uz,Google
arz,vi,Google
arz,wuu,Google
arz,xh,Google
arz,yi,Google
arz,yo,Google
arz,yue,Google
arz,zh,Google
arz,zu,Google
as,af,Google
as,am,Google
as,ar,Google
as,arz,Google
as,ay,Google
as,az,Google
as,be,Google
as,be-tarask,Google
as,bg,Google
as,bho,Google
as,bm,Google
as,bn,Google
as,bs,Google
as,ca,Google
as,ceb,Google
as,ckb,Google
as,co,Google
as,cs,Google
as,cy,Google
as,da,Google
as,de,Google
as,dv,Google
as,ee,Google
as,el,Google
as,en,Google
as,eo,Google
as,es,Google
as,et,Google
as,eu,Google
as,fa,Google
as,fi,Google
as,fr,Google
as,fy,Google
as,ga,Google
as,gan,Google
as,gd,Google
as,gl,Google
as,gn,Google
as,gom,Google
as,gu,Google
as,ha,Google
as,haw,Google
as,he,Google
as,hi,Google
as,hr,Google
as,ht,Google
as,hu,Google
as,hy,Google
as,id,Google
as,ig,Google
as,ilo,Google
as,is,Google
as,it,Google
as,ja,Google
as,jv,Google
as,ka,Google
as,kk,Google
as,km,Google
as,kn,Google
as,ko,Google
as,ku,Google
as,ky,Google
as,la,Google
as,lb,Google
as,lg,Google
as,ln,Google
as,lo,Google
as,lt,Google
as,lv,Google
as,mai,Google
as,mg,Google
as,mi,Google
as,mk,Google
as,ml,Google
as,mn,Google
as,mni,Google
as,mr,Google
as,ms,Google
as,mt,Google
as,my,Google
as,ne,Google
as,nl,Google
as,no,Google
as,nso,Google
as,ny,Google
as,om,Google
as,or,Google
as,pa,Google
as,pl,Google
as,ps,Google
as,pt,Google
as,qu,Google
as,ro,Google
as,ru,Google
as,rw,Google
as,sa,Google
as,sd,Google
as,sh,Google
as,si,Google
as,simple,Google
as,sk,Google
as,sl,Google
as,sm,Google
as,sn,Google
as,so,Google
as,sq,Google
as,sr,Google
as,st,Google
as,su,Google
as,sv,Google
as,sw,Google
as,ta,Google
as,te,Google
as,tg,Google
as,th,Google
as,ti,Google
as,tk,Google
as,tl,Google
as,tr,Google
as,ts,Google
as,tt,Google
as,tw,Google
as,ug,Google
as,uk,Google
as,ur,Google
as,uz,Google
as,vi,Google
as,wuu,Google
as,xh,Google
as,yi,Google
as,yo,Google
as,yue,Google
as,zh,Google
as,zu,Google
ay,af,Google
ay,am,Google
ay,ar,Google
ay,arz,Google
ay,as,Google
ay,az,Google
ay,be,Google
ay,be-tarask,Google
ay,bg,Google
ay,bho,Google
ay,bm,Google
ay,bn,Google
ay,bs,Google
